Customer_ID,Customer_Name,Gender,Age,City,State,Region,Customer_Segment,Region_Clean
C0001,Customer 0001,Male,38,Chennai,Tamil Nadu,South,Consumer,South
C0002,Customer 0002,Male,27,Mumbai,Maharashtra,West,Small Business,West
C0003,Customer 0003,Male,58,Ahmedabad,Gujarat,West,Corporate,West
C0004,Customer 0004,Male,26,Bengaluru,Karnataka,South,Consumer,South
C0005,Customer 0005,Other,59,Mumbai,Maharashtra,West,Consumer,West
C0006,Customer 0006,Male,62,Ahmedabad,Gujarat,West,Small Business,West
C0007,Customer 0007,Female,35,Ahmedabad,Gujarat,West,Corporate,West
C0008,Customer 0008,Female,21,Kochi,Kerala,South,Consumer,South
C0009,Customer 0009,Female,38,Jaipur,Rajasthan,North,Consumer,North
C0010,Customer 0010,Female,27,Mumbai,Maharashtra,West,Consumer,West
C0011,Customer 0011,Male,43,Jaipur,Rajasthan,North,Corporate,North
C0012,Customer 0012,Female,23,Kochi,Kerala,South,Small Business,South
C0013,Customer 0013,Other,28,Kolkata,West Bengal,East,Corporate,East
C0014,Customer 0014,Other,39,Chennai,Tamil Nadu,South,Small Business,South
C0015,Customer 0015,Female,57,Kochi,Kerala,South,Consumer,South
C0016,Customer 0016,Male,63,Chennai,Tamil Nadu,South,Consumer,South
C0017,Customer 0017,Male,35,Pune,Maharashtra,West,Consumer,West
C0018,Customer 0018,Female,50,Jaipur,Rajasthan,North,Small Business,North
C0019,Customer 0019,Male,44,Delhi,Delhi,North,Corporate,North
C0020,Customer 0020,Other,38,Mumbai,Maharashtra,West,Small Business,West
C0021,Customer 0021,Other,61,Chennai,Tamil Nadu,South,Consumer,South
C0022,Customer 0022,Other,36,Ahmedabad,Gujarat,West,Consumer,West
C0023,Customer 0023,Female,38,Kolkata,West Bengal,East,Small Business,East
C0024,Customer 0024,Male,64,Ahmedabad,Gujarat,West,Corporate,West
C0025,Customer 0025,Male,23,Unknown,Karnataka,South,Corporate,South
C0026,Customer 0026,Female,25,Jaipur,Rajasthan,North,Consumer,North
C0027,Customer 0027,Other,41,Kochi,Kerala,South,Consumer,South
C0028,Customer 0028,Female,62,Kolkata,West Bengal,East,Corporate,East
C0029,Customer 0029,Female,29,Hyderabad,Telangana,South,Consumer,South
C0030,Customer 0030,Other,37,Ahmedabad,Gujarat,West,Small Business,West
C0031,Customer 0031,Female,58,Kochi,Kerala,South,Corporate,South
C0032,Customer 0032,Male,29,Delhi,Delhi,North,Small Business,North
C0033,Customer 0033,Male,24,Kolkata,West Bengal,East,Consumer,East
C0034,Customer 0034,Other,31,Hyderabad,Telangana,South,Small Business,South
C0035,Customer 0035,Other,25,Jaipur,Rajasthan,North,Corporate,North
C0036,Customer 0036,Other,50,Jaipur,Rajasthan,North,Small Business,North
C0037,Customer 0037,Other,21,Pune,Maharashtra,West,Small Business,West
C0038,Customer 0038,Other,55,Chennai,Tamil Nadu,South,Corporate,South
C0039,Customer 0039,Male,39,Delhi,Delhi,North,Corporate,North
C0040,Customer 0040,Female,21,Hyderabad,Telangana,South,Small Business,South
C0041,Customer 0041,Other,32,Pune,Maharashtra,West,Small Business,West
C0042,Customer 0042,Other,40,Chennai,Tamil Nadu,South,Small Business,South
C0043,Customer 0043,Other,33,Ahmedabad,Gujarat,West,Consumer,West
C0044,Customer 0044,Male,55,Delhi,Delhi,North,Small Business,North
C0045,Customer 0045,Other,41,Bengaluru,Karnataka,South,Corporate,South
C0046,Customer 0046,Male,44,Bengaluru,Karnataka,South,Corporate,South
C0047,Customer 0047,Male,36,Mumbai,Maharashtra,West,Small Business,West
C0048,Customer 0048,Male,52,Chennai,Tamil Nadu,South,Consumer,South
C0049,Customer 0049,Male,29,Ahmedabad,Gujarat,West,Small Business,West
C0050,Customer 0050,Other,31,Kolkata,West Bengal,East,Corporate,East
C0051,Customer 0051,Other,48,Ahmedabad,Gujarat,South,Consumer,South
C0052,Customer 0052,Other,65,Ahmedabad,Gujarat,South,Consumer,South
C0053,Customer 0053,Female,63,Pune,Maharashtra,West,Small Business,West
C0054,Customer 0054,Female,54,Delhi,Delhi,North,Corporate,North
C0055,Customer 0055,Male,35,Chennai,Tamil Nadu,South,Consumer,South
C0056,Customer 0056,Male,58,Delhi,Delhi,North,Small Business,North
C0057,Customer 0057,Other,35,Mumbai,Maharashtra,West,Consumer,West
C0058,Customer 0058,Other,61,Chennai,Tamil Nadu,South,Consumer,South
