Product_ID,Product_Name,Category,Sub_Category,Cost_Price,Selling_Price
P0001,Laptops Product 001,Electronics,Laptops,4095.31,6037.22
P0002,Binders Product 002,Office Supplies,Binders,18982.87,26523.14
P0003,Personal Care Product 003,Beauty,Personal Care,7912.86,11627.8
P0004,Laptops Product 004,Electronics,Laptops,6092.96,8516.58
P0005,Chairs Product 005,Furniture,Chairs,27171.32,40121.8
P0006,Paper Product 006,Office Supplies,Paper,1472.35,1940.89
P0007,Storage Product 007,Furniture,Storage,13108.06,18764.26
P0008,Kitchen Product 008,Home Appliances,Kitchen,11605.34,15127.16
P0009,Paper Product 009,Office Supplies,Paper,27267.47,33763.73
P0010,Kitchen Product 010,Home Appliances,Kitchen,1232.55,1708.62
P0011,Storage Product 011,Furniture,Storage,8994.13,11666.8
P0012,Haircare Product 012,Beauty,Haircare,2017.18,2501.92
P0013,Tables Product 013,Furniture,Tables,6143.84,9218.22
P0014,Skincare Product 014,Beauty,Skincare,18996.48,27828.56
P0015,Mobiles Product 015,Electronics,Mobiles,23501.09,29950.22
P0016,Haircare Product 016,Beauty,Haircare,10452.22,14248.78
P0017,Writing Product 017,Office Supplies,Writing,8258.98,9342.62
P0018,Skincare Product 018,Beauty,Skincare,1073.24,1576.16
P0019,Paper Product 019,Office Supplies,Paper,24297.89,32141.84
P0020,Binders Product 020,Office Supplies,Binders,29988.25,46146.26
P0021,Laptops Product 021,Electronics,Laptops,19774.56,24413.8
P0022,Laptops Product 022,Electronics,Laptops,17355.62,26771.84
P0023,Cleaning Product 023,Home Appliances,Cleaning,28069.14,43405.08
P0024,Chairs Product 024,Furniture,Chairs,7249.22,9110.4
P0025,Binders Product 025,Office Supplies,Binders,1040.56,1478.89
P0026,Personal Care Product 026,Beauty,Personal Care,4434.65,6775.25
P0027,Small Appliances Product 027,Home Appliances,Small Appliances,9409.78,12523.36
P0028,Laptops Product 028,Electronics,Laptops,7132.18,8659.09
P0029,Haircare Product 029,Beauty,Haircare,220.37,333.79
P0030,Chairs Product 030,Furniture,Chairs,10354.62,12387.31
P0031,Paper Product 031,Office Supplies,Paper,853.0,1170.52
P0032,Chairs Product 032,Furniture,Chairs,25425.13,37885.68
P0033,Mobiles Product 033,Electronics,Mobiles,21195.23,29773.36
P0034,Skincare Product 034,Beauty,Skincare,10229.52,12876.1
P0035,Storage Product 035,Furniture,Storage,28471.07,41581.78
P0036,Small Appliances Product 036,Home Appliances,Small Appliances,9655.05,13749.65
P0037,Personal Care Product 037,Beauty,Personal Care,26710.09,36963.96
P0038,Paper Product 038,Office Supplies,Paper,20032.84,29452.59
P0039,Cleaning Product 039,Home Appliances,Cleaning,22073.05,27517.2
P0040,Storage Product 040,Furniture,Storage,253.58,360.56
P0041,Haircare Product 041,Beauty,Haircare,25552.56,37088.44
P0042,Skincare Product 042,Beauty,Skincare,5626.04,7070.99
P0043,Skincare Product 043,Beauty,Skincare,19261.47,22435.13
P0044,Kitchen Product 044,Home Appliances,Kitchen,10068.82,11613.95
