Store_ID,Store_Name,City,State,Region
S001,Store 001,Pune,Maharashtra,West
S002,Store 002,Mumbai,Maharashtra,West
S003,Store 003,Hyderabad,Telangana,South
S004,Store 004,Ahmedabad,Gujarat,West
S005,Store 005,Mumbai,Maharashtra,West
S006,Store 006,Bengaluru,Karnataka,South
S007,Store 007,Kochi,Kerala,South
S008,Store 008,Jaipur,Rajasthan,North
S009,Store 009,Delhi,Delhi,North
S010,Store 010,Hyderabad,Telangana,South
S011,Store 011,Bengaluru,Karnataka,South
S012,Store 012,Kolkata,West Bengal,East
S013,Store 013,Pune,Maharashtra,West
S014,Store 014,Pune,Maharashtra,West
S015,Store 015,Jaipur,Rajasthan,North
S016,Store 016,Jaipur,Rajasthan,North
S017,Store 017,Jaipur,Rajasthan,North
S018,Store 018,Bengaluru,Karnataka,South
S019,Store 019,Kochi,Kerala,South
S020,Store 020,Kochi,Kerala,South
S021,Store 021,Mumbai,Maharashtra,West
S022,Store 022,Delhi,Delhi,North
S023,Store 023,Mumbai,Maharashtra,West
S024,Store 024,Ahmedabad,Gujarat,West
S025,Store 025,Kolkata,West Bengal,East
