Order_ID,Order_Date,Customer_ID,Product_ID,Store_ID,Quantity,Discount,Sales,Cost,Profit,Profit_Margin,Order_Month,Month_Name,Quarter
O000144,2025-12-31,C0758,P0083,S014,5,0.05,72140.39,58826.75,13313.64,0.1845518162571619,12,December,2025Q4
O000934,2025-12-31,C0469,P0017,S023,2,0.2,14948.19,16517.96,-1569.77,-0.10501405186848708,12,December,2025Q4
O001380,2025-12-31,C0818,P0010,S001,3,0.2,4100.69,3697.65,403.04,0.09828589822688379,12,December,2025Q4
O001426,2025-12-31,C0793,P0088,S013,4,0.0,136634.16,93721.72,42912.44,0.3140681656768703,12,December,2025Q4
O002127,2025-12-31,C0303,P0017,S012,5,0.1,42041.79,41294.9,746.89,0.01776541864654193,12,December,2025Q4
O002179,2025-12-31,C0613,P0118,S022,7,0.05,179112.23,136435.6,42676.63,0.23826753762152364,12,December,2025Q4
O002601,2025-12-31,C0576,P0035,S002,1,0.15,35344.51,28471.07,6873.44,0.194469805918939,12,December,2025Q4
O003240,2025-12-31,C0507,P0072,S005,4,0.0,118050.68,80442.44,37608.24,0.318577072152401,12,December,2025Q4
O003348,2025-12-31,C0336,P0090,S010,4,0.2,66701.73,73388.28,-6686.55,-0.10024552586567095,12,December,2025Q4
O004751,2025-12-31,C0020,P0072,S005,7,0.2,165270.95,140774.27,24496.68,0.14822132988283784,12,December,2025Q4
O005009,2025-12-31,C0374,P0026,S025,8,0.15,46071.7,35477.2,10594.5,0.2299567847507255,12,December,2025Q4
O005293,2025-12-31,C0391,P0056,S019,7,0.15,259101.26,197866.62,61234.64,0.23633478277952025,12,December,2025Q4
O005814,2025-12-31,C0800,P0004,S018,4,0.0,34066.32,24371.84,9694.48,0.28457667279588755,12,December,2025Q4
O000629,2025-12-30,C0793,P0027,S005,6,0.0,75140.16,56458.68,18681.48,0.24862177562571067,12,December,2025Q4
O000695,2025-12-30,C0312,P0004,S024,2,0.0,17033.16,12185.92,4847.24,0.28457667279588755,12,December,2025Q4
O000991,2025-12-30,C0367,P0025,S003,5,0.2,5915.56,5202.8,712.76,0.12048901541020629,12,December,2025Q4
O001162,2025-12-30,C0501,P0082,S023,6,0.2,66900.58,58371.18,8529.4,0.12749366298468562,12,December,2025Q4
O002438,2025-12-30,C0289,P0093,S016,4,0.05,129172.91,89693.36,39479.55,0.3056333560961041,12,December,2025Q4
O003722,2025-12-30,C0002,P0120,S012,3,0.1,33083.56,29667.24,3416.32,0.10326337310736815,12,December,2025Q4
O003932,2025-12-30,C0793,P0036,S024,7,0.0,96247.55,67585.35,28662.2,0.29779667118799386,12,December,2025Q4
O004121,2025-12-30,C0348,P0045,S009,3,0.1,21082.0,15609.15,5472.85,0.25959823546153116,12,December,2025Q4
O005614,2025-12-30,C0769,P0063,S021,1,0.0,2046.14,1824.24,221.9,0.10844810228039137,12,December,2025Q4
O005748,2025-12-30,C0117,P0097,S015,3,0.0,32072.55,24686.16,7386.39,0.23030254844095654,12,December,2025Q4
O000322,2025-12-29,C0060,P0106,S020,5,0.15,66052.56,56497.55,9555.01,0.14465767867286294,12,December,2025Q4
O000708,2025-12-29,C0487,P0047,S023,3,0.1,1763.07,1618.77,144.3,0.0818458711225306,12,December,2025Q4
O001550,2025-12-29,C0465,P0084,S005,2,0.0,47511.26,31373.42,16137.84,0.33966348187776957,12,December,2025Q4
O001820,2025-12-29,C0495,P0066,S018,2,0.0,33481.56,28624.82,4856.74,0.14505715982170483,12,December,2025Q4
O002157,2025-12-29,C0500,P0072,S020,7,0.15,175600.39,140774.27,34826.12,0.19832598321677988,12,December,2025Q4
O002323,2025-12-29,C0351,P0017,S012,5,0.15,39706.14,41294.9,-1588.76,-0.04001295517519457,12,December,2025Q4
O002566,2025-12-29,C0938,P0021,S003,1,0.05,23193.11,19774.56,3418.55,0.14739506689702245,12,December,2025Q4
O003034,2025-12-29,C0557,P0104,S004,3,0.0,23522.91,18400.41,5122.5,0.2177664243071967,12,December,2025Q4
O003629,2025-12-29,C0919,P0019,S019,5,0.1,144638.28,121489.45,23148.83,0.1600463584052576,12,December,2025Q4
O003833,2025-12-29,C0349,P0021,S004,2,0.15,41503.46,39549.12,1954.34,0.04708860417902507,12,December,2025Q4
